key,ko,en,jp
SETTING_EXTRA_BUTTON,Extra 설정
SETTING_EXTRA_TITLE,Extra 설정
DONE_BUTTON,완료
INPUT_EXTRA_DESCRIPTION,Extra 입력
SETTING_ROYALTY_BUTTON,로열티 설정
SETTING_ROYALTY_TITLE,로열티 설정
INPUT_ROYALTY_DESCRIPTION,로열티 입력
WAITING_PFP_INFOS_TITLE,등록을 기다리는 PFP 정보들
PASS_BUTTON,통과
CALCULATED_YET_DESCRIPTION,아직 계산되지 않았습니다.
CONNECT_QR_KLIP_TITLE,QR 코드로 Klip 접속
CONNECT_QR_KLIP_DESCRIPTION_1,QR 코드 리더기 또는 카카오톡 앱을 통해 QR 코드를 스캔해주세요.
CONNECT_QR_KLIP_DESCRIPTION_2,카카오톡 실행 ▶ 상단 검색창 클릭 ▶ 코드 스캔 후 로그인
CONNECT_QR_KLIP_DESCRIPTION_3,* Klip > 코드스캔 (사이드메뉴)에서도 스캔이 가능합니다.
CONFIRM_BUTTON,확인
CONNECT_WALLET_DESCRIPTION,Klubs는 클레이튼 블록체인과의 연결이 필요합니다. 카이카스 혹은 카카오톡 클립에서 연결해주시기 바랍니다.
INSTALL_KAIKAS_BUTTON,카이카스 설치
CONNECT_KLIPS_BUTTON,카카오톡 클립으로 연결
NOT_CONNECT_AROUND_BUTTON,연결하지 않고 둘러보기
NO_TITLE,제목 없음
ACCEPT_OFFER_IT_TITLE,제안 수락하기
ACCEPT_OFFER_IT_DESCRIPTION,"보유중인 NFT에 제안된 가격을 수락합니다. 최초 수락시에는 2번의 트랜잭션이 발생합니다. 한번은 NFT 사용 허락을 위한 것이며, 다른 하나는 실제 수락을 위한 것입니다. 수락하는 즉시 거래가 완료됩니다."
CANCEL_BUTTON,취소
ACCEPT_OFFER_POPUP_DESCRIPTION,"제안 가격 (원작자 2차 판매 수수료 {royalty}%, Klubs 수수료 {fee}% 포함)"
BID_POPUP_DESCRIPTION,"경매에 입찰합니다. 최초 입찰시에는 2번의 트랜잭션이 발생합니다. 한번은 MIX 사용 허락을 위한 것이며, 다른 하나는 실제 입찰을 위한 것입니다."
BID_PRICE_MIX_INPUT,입찰 가격 (MIX)
BID_PRICE_MIX_POPUP_DESCRIPTION,입찰 가격 (최소 입찰 가격: {mix} MIX)
BUY_POPUP_DESCRIPTION,"NFT를 구매합니다. 최초 구매시에는 2번의 트랜잭션이 발생합니다. 한번은 MIX 사용 허락을 위한 것이며, 다른 하나는 실제 구매를 위한 것입니다."
BUY_PROCESS_BUTTON,구매 진행
SELL_PRICE,판매 가격
CREATE_AUCTION_POPUP_DESCRIPTION,"보유중인 NFT의 경매를 시작합니다. 최초 경매 시작시에는 2번의 트랜잭션이 발생합니다. 한번은 NFT 사용 허락을 위한 것이며, 다른 하나는 실제 경매 시작을 위한 것입니다."
CREATE_AUCTION_START_PRICE_DESCRIPTION,"경매 시작 가격 (원작자 2차 판매 수수료: {royalty}%, Klubs 수수료 {fee}% 포함)"
CREATE_AUCTION_POPUP_DESCRIPTION,경매 종료 블록 (현재 블록: {currentBlock})
AUCTION_START_PRICE_INPUT,경매 시작 가격 (MIX)
CREATE_AUCTION_POPUP_WARNING,클레이튼의 블록 타임은 대략 1초입니다. 종료 시간 계산에 유의해주시기 바랍니다.
END_AUCTION_BLOCK_INPUT,경매 종료 블록
OFFER_POPUP_DESCRIPTION,"NFT의 가격을 제안합니다. 최초 제안시에는 2번의 트랜잭션이 발생합니다. 한번은 MIX 사용 허락을 위한 것이며, 다른 하나는 실제 제안를 위한 것입니다. 소유자가 수락하는 즉시 거래가 완료됩니다."
OFFER_IT_BUTTON,제안하기
PRICE_OFFER_INPUT,제안 가격
PRICE_OFFER_MIX_INPUT,제안 가격 (MIX)
SELL_POPUP_DESCRIPTION,"보유중인 NFT를 판매합니다. 최초 판매시에는 2번의 트랜잭션이 발생합니다. 한번은 NFT 사용 허락을 위한 것이며, 다른 하나는 실제 판매를 위한 것입니다."
START_SELL_BUTTON,판매 시작
PRICE_SELL_MIX_INPUT,판매 가격 (MIX)
SELL_POPUP_PRICE_DESCRIPTION,"판매 가격 (원작자 2차 판매 수수료: {royalty}%, Klubs 수수료 {fee}% 포함)"
VIEW_RARITY_SCORE_BUTTON,희소 점수 보기
MULTIPLE_SELL_BUTTON,다중 판매
MULTIPLE_BUY_BUTTON,다중 구매
SORT_LOWEST_PRICE_OPTION,최저가 순
SORT_HIGHEST_PRICE_OPTION,최고가 순
SORT_RARITY_OPTION,희소 점수 순
ANNOUNCEMENT_TITLE,안내
FIRST_PAGE_DESCRIPTION,첫 페이지입니다.
LAST_PAGE_DESCRIPTION,마지막 페이지입니다.
SELECTED_DESCRIPTION,{n}개 선택됨
LOGOUT_BUTTON,로그아웃
ART_ACCEPT_OFFER_POPUP_DESCRIPTION,"보유중인 NFT에 제안된 가격을 수락합니다. 최초 수락시에는 2번의 트랜잭션이 발생합니다. 한번은 NFT 사용 허락을 위한 것이며, 다른 하나는 실제 수락을 위한 것입니다. 수락하는 즉시 거래가 완료됩니다."
ARTIST_ART_LIST_TITLE,작품 목록
